Fecha,StateName,DaysOnZillow
2019-02-28,MS,109.0
2019-02-28,MT,
2019-02-28,NC,60.5
2019-02-28,ND,
2019-02-28,NE,103.5
2019-02-28,NH,64.0
2019-02-28,NJ,101.5
2019-02-28,NM,77.5
2019-02-28,NV,64.0
2019-02-28,NY,143.0
2019-02-28,OH,74.0
2019-02-28,OK,103.0
2019-02-28,OR,64.0
2019-02-28,PA,80.5
2019-02-28,RI,84.0
2019-02-28,SC,71.0
2019-02-28,SD,61.0
2019-02-28,TN,65.5
2019-02-28,TX,70.0
2019-02-28,UT,48.0
2019-02-28,VA,81.0
2019-02-28,WA,55.0
2019-02-28,WI,64.0
2019-02-28,WV,108.0
2019-02-28,WY,63.0
2019-03-31,AK,
2019-03-31,AL,59.0
2019-03-31,AR,77.5
2019-03-31,AZ,64.5
2019-03-31,CA,50.0
2019-03-31,CO,59.5
2019-03-31,CT,71.0
2019-03-31,DE,71.5
2019-03-31,FL,76.0
2019-03-31,GA,55.0
2019-03-31,HI,89.0
2019-03-31,IA,76.5
2019-03-31,ID,
2019-03-31,IL,85.5
2019-03-31,IN,55.5
2019-03-31,KS,59.5
2019-03-31,KY,75.0
2019-03-31,LA,87.0
2019-03-31,MA,59.0
2019-03-31,MD,65.5
2019-03-31,ME,86.5
2019-03-31,MI,59.5
2019-03-31,MN,62.0
2019-03-31,MO,66.5
2019-03-31,MS,92.0
2019-03-31,MT,
2019-03-31,NC,59.5
2019-03-31,ND,
2019-03-31,NE,56.0
2019-03-31,NH,69.0
2019-03-31,NJ,89.0
2019-03-31,NM,68.0
2019-03-31,NV,57.0
2019-03-31,NY,128.0
2019-03-31,OH,67.0
2019-03-31,OK,73.5
2019-03-31,OR,61.0
2019-03-31,PA,75.0
2019-03-31,RI,64.0
2019-03-31,SC,76.0
2019-03-31,SD,66.0
2019-03-31,TN,64.0
2019-03-31,TX,62.5
2019-03-31,UT,43.0
2019-03-31,VA,65.0
2019-03-31,WA,43.0
2019-03-31,WI,58.5
2019-03-31,WV,91.0
2019-03-31,WY,70.0
2019-04-30,AK,
2019-04-30,AL,64.0
2019-04-30,AR,71.5
2019-04-30,AZ,56.5
2019-04-30,CA,47.0
2019-04-30,CO,51.5
2019-04-30,CT,67.0
2019-04-30,DE,76.0
2019-04-30,FL,76.5
2019-04-30,GA,60.0
2019-04-30,HI,101.0
2019-04-30,IA,61.0
2019-04-30,ID,
2019-04-30,IL,63.5
2019-04-30,IN,55.0
2019-04-30,KS,50.5
2019-04-30,KY,65.5
2019-04-30,LA,92.5
2019-04-30,MA,56.0
2019-04-30,MD,61.0
2019-04-30,ME,66.5
2019-04-30,MI,50.5
2019-04-30,MN,53.0
2019-04-30,MO,61.0
2019-04-30,MS,88.0
2019-04-30,MT,43.0
2019-04-30,NC,52.5
2019-04-30,ND,
2019-04-30,NE,66.0
2019-04-30,NH,50.0
2019-04-30,NJ,97.0
2019-04-30,NM,62.0
2019-04-30,NV,53.0
2019-04-30,NY,89.0
2019-04-30,OH,60.0
2019-04-30,OK,65.0
2019-04-30,OR,56.0
2019-04-30,PA,59.0
2019-04-30,RI,58.0
2019-04-30,SC,70.0
2019-04-30,SD,55.0
2019-04-30,TN,56.0
2019-04-30,TX,63.0
2019-04-30,UT,42.0
2019-04-30,VA,56.0
2019-04-30,WA,40.0
2019-04-30,WI,56.0
2019-04-30,WV,84.0
2019-04-30,WY,62.5
2019-05-31,AK,
2019-05-31,AL,67.0
2019-05-31,AR,74.5
2019-05-31,AZ,60.0
2019-05-31,CA,50.0
2019-05-31,CO,55.0
2019-05-31,CT,69.0
2019-05-31,DE,76.0
2019-05-31,FL,78.5
2019-05-31,GA,61.0
2019-05-31,HI,84.0
2019-05-31,IA,59.0
2019-05-31,ID,
2019-05-31,IL,68.0
2019-05-31,IN,50.5
2019-05-31,KS,55.0
2019-05-31,KY,67.0
2019-05-31,LA,94.5
2019-05-31,MA,57.0
2019-05-31,MD,64.5
2019-05-31,ME,52.5
2019-05-31,MI,50.0
2019-05-31,MN,59.5
2019-05-31,MO,60.5
2019-05-31,MS,93.0
2019-05-31,MT,49.0
2019-05-31,NC,53.5
2019-05-31,ND,
2019-05-31,NE,53.5
2019-05-31,NH,48.0
2019-05-31,NJ,90.5
2019-05-31,NM,54.5
2019-05-31,NV,54.0
2019-05-31,NY,89.0
2019-05-31,OH,62.0
2019-05-31,OK,76.5
2019-05-31,OR,52.0
2019-05-31,PA,61.5
2019-05-31,RI,59.0
2019-05-31,SC,76.0
2019-05-31,SD,61.0
2019-05-31,TN,53.5
2019-05-31,TX,66.0
2019-05-31,UT,44.0
2019-05-31,VA,60.0
2019-05-31,WA,43.0
2019-05-31,WI,48.0
2019-05-31,WV,88.0
2019-05-31,WY,63.0
2019-06-30,AK,
2019-06-30,AL,66.0
2019-06-30,AR,65.5
2019-06-30,AZ,64.0
2019-06-30,CA,52.5
2019-06-30,CO,52.0
2019-06-30,CT,70.0
2019-06-30,DE,79.5
2019-06-30,FL,79.5
2019-06-30,GA,57.5
2019-06-30,HI,90.0
2019-06-30,IA,63.0
